"Rango","cvegeo","Municipio o Demarcación territorial","Entidad","Valor"
"1","31001","Abalá","Yucatán","9"
"1","05001","Abasolo","Coahuila de Zaragoza","2"
"1","11001","Abasolo","Guanajuato","407"
"1","19001","Abasolo","Nuevo León","17"
"1","28001","Abasolo","Tamaulipas","103"
"1","20001","Abejones","Oaxaca","1"
"1","07001","Acacoyagua","Chiapas","302"
"2","21001","Acajete","Puebla","1949"
"1","30001","Acajete","Veracruz de Ignacio de la Llave","87"
"1","07002","Acala","Chiapas","167"
"2","15001","Acambay de Ruíz Castañeda","México","1805"
"1","31002","Acanceh","Yucatán","22"
"2","07003","Acapetahua","Chiapas","1231"
"1","18001","Acaponeta","Nayarit","345"
"5","12001","Acapulco de Juárez","Guerrero","15475"
"1","21002","Acateno","Puebla","335"
"1","12076","Acatepec","Guerrero","434"
"1","14001","Acatic","Jalisco","217"
"1","14002","Acatlán de Juárez","Jalisco","71"
"2","20002","Acatlán de Pérez Figueroa","Oaxaca","1045"
"1","13001","Acatlán","Hidalgo","198"
"2","21003","Acatlán","Puebla","1502"
"1","30002","Acatlán","Veracruz de Ignacio de la Llave","3"
"2","21004","Acatzingo","Puebla","1512"
"2","13002","Acaxochitlán","Hidalgo","1523"
"2","30003","Acayucan","Veracruz de Ignacio de la Llave","1635"
"3","15002","Acolman","México","4382"
"1","26001","Aconchi","Sonora","8"
"1","21005","Acteopan","Puebla","310"
"1","13003","Actopan","Hidalgo","413"
"1","30004","Actopan","Veracruz de Ignacio de la Llave","141"
"1","29022","Acuamanala de Miguel Hidalgo","Tlaxcala","4"
"1","16001","Acuitzio","Michoacán de Ocampo","97"
"1","30005","Acula","Veracruz de Ignacio de la Llave","353"
"2","15003","Aculco","México","934"
"2","30006","Acultzingo","Veracruz de Ignacio de la Llave","1369"
"1","05002","Acuña","Coahuila de Zaragoza","331"
"1","11002","Acámbaro","Guanajuato","331"
"1","13004","Agua Blanca de Iturbide","Hidalgo","72"
"2","30204","Agua Dulce","Veracruz de Ignacio de la Llave","1960"
"1","26002","Agua Prieta","Sonora","207"
"1","19002","Agualeguas","Nuevo León","12"
"2","01001","Aguascalientes","Aguascalientes","989"
"1","16002","Aguililla","Michoacán de Ocampo","62"
"2","25001","Ahome","Sinaloa","1514"
"1","18002","Ahuacatlán","Nayarit","27"
"1","21006","Ahuacatlán","Puebla","122"
"2","12002","Ahuacuotzingo","Guerrero","955"
"1","14003","Ahualulco de Mercado","Jalisco","9"
"2","24001","Ahualulco","San Luis Potosí","764"
"1","21007","Ahuatlán","Puebla","56"
"1","21008","Ahuazotepec","Puebla","59"
"1","21009","Ahuehuetitla","Puebla","57"
"1","08001","Ahumada","Chihuahua","22"
"1","13005","Ajacuba","Hidalgo","102"
"3","21010","Ajalpan","Puebla","2907"
"2","12003","Ajuchitlán del Progreso","Guerrero","1267"
"1","31003","Akil","Yucatán","40"
"1","24002","Alaquines","San Luis Potosí","623"
